nation,amount,male,female
蒙古族,5981840,2999520,2982320
回族,10586087,5373741,5212346
藏族,6282187,3155625,3126562
维吾尔族,10069346,5097594,4971752
苗族,9426007,4870328,4555679
彝族,8714393,4456382,4258011
壮族,16926381,8689488,8236893
布依族,2870034,1455720,1414314
朝鲜族,1830929,910535,920394
满族,10387958,5401812,4986146
侗族,2879974,1511959,1368015
瑶族,2796003,1458842,1337161
白族,1933510,978998,954512
土家族,8353912,4307260,4046652
哈尼族,1660932,863370,797562
哈萨克族,1462588,747368,715220
傣族,1261311,625176,636135
黎族,1463064,756992,706072
傈僳族,702839,355374,347465
佤族,429709,216439,213270
畲族,708651,383213,325438
高山族,4009,2029,1980
拉祜族,485966,247667,238299
水族,411847,213644,198203
东乡族,621500,317490,304010
纳西族,326295,162635,163660
景颇族,147828,71318,76510
柯尔克孜族,186708,94645,92063
土族,289565,148055,141510
达斡尔族,131992,64866,67126
仫佬族,216257,110516,105741
羌族,309576,156539,153037
布朗族,119639,61230,58409
撒拉族,130607,66281,64326
毛南族,101192,52836,48356
仡佬族,550746,289369,261377
锡伯族,190481,99571,90910
阿昌族,39555,19751,19804
普米族,42861,21433,21428
塔吉克族,51069,26112,24957
怒族,37523,18907,18616
乌孜别克族,10569,5673,4896
俄罗斯族,15393,7284,8109
鄂温克族,30875,14668,16207
德昂族,20556,10039,10517
保安族,20074,10016,10058
裕固族,14378,7325,7053
京族,28199,14416,13783
塔塔尔族,3556,1899,1657
独龙族,6930,3349,3581
鄂伦春族,8659,4033,4626
赫哲族,5354,2651,2703
门巴族,10561,5261,5300
珞巴族,3682,1803,1879
基诺族,23143,11744,11399
